wavelength_nm,a_star_m2_per_mg,segment,source,decision,scientific_status
869,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
870,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
871,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
872,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
873,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
874,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
875,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
876,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
877,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
878,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
879,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
880,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
881,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
882,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
883,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
884,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
885,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
886,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
887,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
888,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
889,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
890,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
891,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
892,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
893,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
894,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
895,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
896,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
897,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
898,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
899,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
900,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
901,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
902,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
903,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
904,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
905,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
906,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
907,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
908,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
909,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
910,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
911,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
912,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
913,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
914,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
915,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
916,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
917,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
918,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
919,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
920,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
921,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
922,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
923,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
924,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
925,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
926,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
927,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
928,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
929,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
930,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
931,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
932,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
933,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
934,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
