family,path,sha256_16,n_angle_decl,wl_min_um,wl_max_um,teta_n_wl
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r75f10v01.mie,8a47a71c9df91293,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r75f20v01.mie,695c67ef8415375b,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r75f30v01.mie,16d042294c3a9abb,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r75f50v01.mie,4ea42c9f3a7f7c82,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r75f80v01.mie,5a22cebb7722d492,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r75f95v01.mie,6b2314111b556b45,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r80f00v01.mie,dcfd93911b69c9f5,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r80f01v01.mie,e4da56cc40f8839a,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r80f02v01.mie,4f8ca216896178f4,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r80f05v01.mie,c477e2b3dc96e9f5,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r80f10v01.mie,df40f40b7901a844,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r80f20v01.mie,cc016b2202c22089,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r80f30v01.mie,21c3fb06fbb0a137,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r80f50v01.mie,4b8cba5715dd6187,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r80f80v01.mie,083bddf0b4462c47,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r80f95v01.mie,b3fa6f3b2738e61c,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r85f00v01.mie,3ac68a923779b9cd,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r85f01v01.mie,69176bafdf18183f,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r85f02v01.mie,7bc66797551db953,631,0.33,1.95,22
